222.27	280.77	518.51	595.32	196.97	185.96	377.56	302.21
185.07	248.06	422.39	501.85	227.79	224.49	469.25	380.87
161.27	210.93	353.24	424.79	264.3	266.87	552.21	451.86
134.9	179.68	290.49	356	298.3	304.83	642.61	544.92
116.1	146.23	244.39	292.11	344.48	317.87	730.23	632.96
97.9	130.48	199.92	247.07	361.46	353.32	798.44	703.9
75.51	109.23	169.83	202.44	382.94	358.32	852.03	762.23
60.44	75.55	122.65	153.72	377.28	351.24	806.07	727.28
48.63	62.82	107.87	136.55	352.03	318.21	597.01	534.56
39.1	51.72	87.07	108.83	275.14	234.34	501.31	460.68
34.11	44.04	69.32	84.55	216.34	191.06	450.38	413.87
30.37	41.15	60.25	74.39	199.86	171.23	416.3	356.14
24.83	34.92	51.18	66.86	174.46	158.59	364.99	302.03
22.38	32.23	50.01	62.06	158.27	150.1	319.83	261.79
22.63	30.59	47.39	59.51	161.61	146.31	281.99	222.69
229.31	183.54	230.73	444.21	53.76	33.94	51.18	69.03
304.68	245.23	325.39	642.41	65.92	46.39	70.8	86.96
364.39	284.34	390.85	781.7	78.76	53.72	85.39	98.93
410.51	298.58	438.45	891.9	93.48	62.14	99.85	116.65
435.01	311.45	464.3	985.93	104.51	73.11	114.15	138.9
441.65	320.24	483.75	1023.15	125.18	85.9	137.63	165.68
444.17	311.93	465.66	977.93	158.96	102.3	162.24	194.06
415.03	304.76	429.27	910.69	185.04	123.32	193.68	226.8
370.89	279.77	394.83	797.03	217.75	141.49	235.45	277.2
320.79	244.14	336.42	663.63	263.06	166.82	274.38	341.44
226.14	188.72	230.25	452.77	371.68	240.55	380.23	526.69
191.85	162.39	195.14	383.24	429.45	270.54	436.37	640.11
162.73	137.77	160.76	324.04	490.35	282.41	488.14	771.24
132.75	121.3	135.27	264.8	542.17	298.99	535.59	868.32
106.37	94.77	114.48	220.37	553.23	326.31	558.55	913.7
86.54	83.06	93.86	186.06	547.9	322.76	557.85	903.3
74.83	67.87	80.07	166.93	532.72	303.63	543.18	874.62
66.77	55.56	67.94	139.7	415.61	278.96	409.93	638.68
58.06	52.9	59.75	111.39	340.9	238.85	326.93	559.32
41.7	36.01	42.75	87.11	277.8	154.96	266.54	418.27
32.66	31.35	34.28	76.56	248.14	143.61	239.66	339.54
29.13	27.58	31.89	68.52	224.41	131.28	220.72	283.41
29.23	26.58	29.03	62.94	209.24	121.23	206.01	243.34
352.97	231.51	163.01	340.24	79.18	42.49	36.1	46.35
449.24	272.2	193.7	418.96	93.59	45.11	45.49	58.37
538.72	308.34	206.8	483.23	109.52	52.24	51.13	64.03
642.52	347.37	237.96	549.37	125.17	65.28	56.55	74.72
775.34	386.89	261.27	631.01	149.34	74.99	76.08	88.76
868.21	418.27	273.85	688.61	198.97	106.59	99.3	122.69
815.73	420.03	277.9	661.69	233.82	126.63	116.51	143.48
739.13	392.32	265.7	605.41	278.62	158.62	146.1	170.15
647.54	363.82	231.73	543.97	341.48	188.32	163.87	206.52
537.72	310.31	204.2	476.1	414.18	217.68	195.35	255.37
442.62	277.13	173.06	408.44	496.83	251.76	225.7	304.24
353.75	221.85	156.15	334.99	610.34	300.66	265.14	372.14
294.24	195.97	132.9	274.51	704.9	351.58	292.77	425.8
236.92	165.13	104.37	235.69	835.08	380.44	313.94	502.82
162.99	114.32	81.06	163.37	962.52	436.72	350.93	575.17
137.11	98.7	65.96	136.8	946.96	431.2	348.65	572.14
115.34	83.06	55.45	121.04	899.82	418.9	347.54	545.2
104.08	74.77	44.55	104.92	669.69	368.94	300.58	358.1
83.17	58.85	40.37	92.83	612.25	264.86	243.8	313.38
68.06	52.23	33.79	74.86	546.49	236.25	183.63	275.31
59.96	44.35	28.76	61.79	470.25	217.41	158.11	258.9
52.45	40.51	25.75	51.45	397.42	194.01	153.3	232.87
49.18	35.65	22.83	47.15	336.1	175.55	136.63	208.44
